Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,147,7,Some Random Commen with Id 0
1,0,5,189,1,Some Random Commen with Id 1
2,0,5,185,1,Some Random Commen with Id 2
3,0,5,184,3,Some Random Commen with Id 3
4,0,5,76,2,Some Random Commen with Id 4
5,0,5,29,8,Some Random Commen with Id 5
6,0,5,145,6,Some Random Commen with Id 6
7,1,0,194,0,Some Random Commen with Id 7
8,2,5,160,9,Some Random Commen with Id 8
9,2,5,169,6,Some Random Commen with Id 9
10,2,5,21,0,Some Random Commen with Id 10
11,2,5,108,3,Some Random Commen with Id 11
12,2,5,145,4,Some Random Commen with Id 12
13,3,2,56,4,Some Random Commen with Id 13
14,5,8,177,8,Some Random Commen with Id 14
15,5,8,195,5,Some Random Commen with Id 15
16,5,8,171,9,Some Random Commen with Id 16
17,6,7,63,6,Some Random Commen with Id 17
18,6,7,14,8,Some Random Commen with Id 18
19,6,7,92,2,Some Random Commen with Id 19
20,6,7,79,9,Some Random Commen with Id 20
21,7,6,144,2,Some Random Commen with Id 21
22,7,6,16,4,Some Random Commen with Id 22
23,8,8,140,5,Some Random Commen with Id 23
24,8,8,161,1,Some Random Commen with Id 24
25,8,8,169,7,Some Random Commen with Id 25
26,8,8,155,1,Some Random Commen with Id 26
27,8,8,160,7,Some Random Commen with Id 27
28,8,8,94,6,Some Random Commen with Id 28
29,9,1,39,2,Some Random Commen with Id 29
30,9,1,137,4,Some Random Commen with Id 30
31,9,1,187,0,Some Random Commen with Id 31
32,10,0,108,2,Some Random Commen with Id 32
33,10,0,140,3,Some Random Commen with Id 33
34,10,0,176,2,Some Random Commen with Id 34
35,11,0,198,5,Some Random Commen with Id 35
36,11,0,20,6,Some Random Commen with Id 36
37,11,0,117,8,Some Random Commen with Id 37
38,12,6,131,7,Some Random Commen with Id 38
39,12,6,89,6,Some Random Commen with Id 39
40,13,3,7,1,Some Random Commen with Id 40
41,13,3,196,6,Some Random Commen with Id 41
42,13,3,116,7,Some Random Commen with Id 42
43,13,3,131,0,Some Random Commen with Id 43
44,13,3,2,8,Some Random Commen with Id 44
45,13,3,116,2,Some Random Commen with Id 45
46,13,3,150,2,Some Random Commen with Id 46
47,14,8,95,0,Some Random Commen with Id 47
48,15,5,118,8,Some Random Commen with Id 48
49,15,5,7,0,Some Random Commen with Id 49
50,15,5,150,3,Some Random Commen with Id 50
51,16,6,122,6,Some Random Commen with Id 51
52,16,6,180,9,Some Random Commen with Id 52
53,16,6,21,4,Some Random Commen with Id 53
54,16,6,59,6,Some Random Commen with Id 54
55,16,6,74,8,Some Random Commen with Id 55
56,16,6,139,4,Some Random Commen with Id 56
57,17,8,90,7,Some Random Commen with Id 57
58,18,3,149,1,Some Random Commen with Id 58
59,18,3,80,5,Some Random Commen with Id 59
60,18,3,96,0,Some Random Commen with Id 60
61,18,3,157,7,Some Random Commen with Id 61
62,18,3,83,8,Some Random Commen with Id 62
63,18,3,127,2,Some Random Commen with Id 63
64,18,3,197,1,Some Random Commen with Id 64
65,18,3,45,0,Some Random Commen with Id 65
66,19,7,136,4,Some Random Commen with Id 66
67,19,7,111,4,Some Random Commen with Id 67
68,19,7,176,2,Some Random Commen with Id 68
69,20,7,73,2,Some Random Commen with Id 69
